id,turma_id,aluno_id,status,data_matricula,data_inicio_aulas,data_cancelamento,motivo_cancelamento,valor_acordado,desconto_aplicado,forma_pagamento,observacoes,notas_professor,criado_em,atualizado_em,created_at,updated_at,deleted_at
468451ab-8e2d-4fa7-a7bb-aad479662d2d,6b144088-27f3-421a-92be-24a1e4a05661,c91f1974-e102-46dd-b1c3-ba3f06c039af,ativa,2025-05-30,,,,120.00,0.00,mensalidade,,,2025-05-30 00:16:18.319084,2025-05-30 00:16:18.319084,2025-12-16 00:04:52.501355+00,2025-12-16 00:04:52.501355+00,
5ad70103-4f36-44e5-bd55-4c5f07b875cf,6b144088-27f3-421a-92be-24a1e4a05661,54e79a05-59f7-4cc8-b67f-f522a1b452e4,ativa,2025-05-30,,,,120.00,0.00,mensalidade,,,2025-05-30 00:16:18.319084,2025-05-30 00:16:18.319084,2025-12-16 00:04:52.501355+00,2025-12-16 00:04:52.501355+00,
83d410a4-4f56-44a7-a9d9-a91d0fc3e098,6b144088-27f3-421a-92be-24a1e4a05661,b37a40d9-ba6c-465f-abfc-c441b47edb4d,ativa,2025-05-30,,,,120.00,0.00,mensalidade,,,2025-05-30 00:16:18.319084,2025-05-30 00:16:18.319084,2025-12-16 00:04:52.501355+00,2025-12-16 00:04:52.501355+00,
b8611baf-a6f1-4069-ad16-2b43da335235,fc0750bd-9ce4-4f1d-8003-3daed93e872a,5697f078-c2f5-4da6-bb6c-db9ec9764d41,ativa,2025-05-30,,,,150.00,0.00,mensalidade,,,2025-05-30 00:16:26.022629,2025-05-30 00:16:26.022629,2025-12-16 00:04:52.501355+00,2025-12-16 00:04:52.501355+00,
be7b6c5f-e0f3-4c44-9e89-ed3da0962749,c4a209bd-1e64-4e4c-b16c-d0883eb3d4b1,2577157b-8ad4-4c64-870d-189dcf962c33,ativa,2025-10-05,,,,,0.00,,,,2025-10-05 05:13:37.953457,2025-10-05 05:13:37.953457,2025-12-16 00:04:52.501355+00,2025-12-16 00:04:52.501355+00,
e4f76855-e43c-431f-8e44-249f1ac02a47,6b144088-27f3-421a-92be-24a1e4a05661,1f63bfc3-62d7-48cb-b497-6699cb7d2037,ativa,2025-05-30,,,,120.00,0.00,mensalidade,,,2025-05-30 00:16:18.319084,2025-05-30 00:16:18.319084,2025-12-16 00:04:52.501355+00,2025-12-16 00:04:52.501355+00,
